# 2-4 键位当量 (ms, 期望耗时原值含错误成本: 修正段 = 段 + 782.2ms×P_err(a,b|有无前键,有无后键), 实测错误成本标量; 09-14 分手版 09-15 回退保通用性)
# T2=C[∅,a,b,∅](角点,2键验证中) T3=C[∅,a,b,c]+C[a,b,c,∅] T4=C[∅,a,b,c]+C[a,b,c,d]+C[b,c,d,∅]
code	当量
aa	161.76
ab	78.57
ac	112.09
ad	87.04
ae	70.31
af	70.65
ag	79.86
ah	55.92
ai	50.43
aj	47.88
ak	55.97
al	55.37
am	56.92
an	56.14
ao	54.74
ap	50.82
aq	194.33
ar	62.07
as	81.72
at	79.14
au	49.83
av	69.01
aw	97.62
ax	183.98
ay	61.71
az	217.98
a;	49.39
a,	67.24
a.	58.94
a/	54.66
ba	66.06
bb	157.27
bc	81.71
bd	78.92
be	61.42
bf	187.01
bg	188.81
bh	56.04
bi	49.96
bj	48.54
bk	55.80
bl	51.05
bm	71.60
bn	59.90
bo	54.27
bp	51.00
bq	66.29
br	192.07
bs	65.32
bt	198.28
bu	52.29
bv	174.70
bw	58.12
bx	78.54
by	66.76
bz	70.11
b;	48.34
b,	67.16
b.	56.43
b/	54.59
ca	75.79
cb	83.00
cc	152.54
cd	183.02
ce	180.43
cf	71.52
cg	89.02
ch	58.18
ci	53.88
cj	54.78
ck	57.80
cl	57.13
cm	63.60
cn	65.40
co	59.72
cp	53.21
cq	80.47
cr	82.44
cs	63.50
ct	100.80
cu	50.63
cv	52.93
cw	72.84
cx	75.76
cy	68.66
cz	74.54
c;	57.13
c,	74.67
c.	64.67
c/	59.46
da	68.17
db	77.78
dc	194.62
dd	145.56
de	169.54
df	62.77
dg	76.43
dh	56.78
di	52.49
dj	52.56
dk	58.78
dl	56.10
dm	61.15
dn	59.57
do	58.14
dp	50.46
dq	63.78
dr	68.97
ds	64.35
dt	83.33
du	49.98
dv	63.66
dw	52.84
dx	85.78
dy	59.96
dz	67.24
d;	51.04
d,	66.41
d.	58.32
d/	54.50
ea	59.24
eb	82.25
ec	210.94
ed	185.37
ee	143.69
ef	69.59
eg	76.13
eh	54.19
ei	54.48
ej	49.90
ek	55.63
el	52.90
em	54.70
en	51.08
eo	56.50
ep	52.03
eq	60.17
er	61.51
es	78.24
et	79.17
eu	50.01
ev	84.33
ew	58.56
ex	185.99
ey	58.62
ez	108.42
e;	54.60
e,	67.71
e.	57.24
e/	52.79
fa	68.81
fb	201.83
fc	87.14
fd	77.69
fe	63.88
ff	152.50
fg	177.20
fh	61.06
fi	57.23
fj	55.65
fk	61.22
fl	60.03
fm	68.37
fn	67.20
fo	62.03
fp	54.57
fq	64.36
fr	186.38
fs	66.98
ft	192.19
fu	56.62
fv	198.22
fw	58.63
fx	72.15
fy	67.14
fz	71.16
f;	49.91
f,	70.56
f.	64.78
f/	56.43
ga	64.14
gb	200.55
gc	86.21
gd	77.25
ge	61.71
gf	177.10
gg	155.75
gh	54.09
gi	51.10
gj	49.09
gk	55.08
gl	51.03
gm	59.48
gn	59.34
go	50.87
gp	51.18
gq	59.29
gr	186.30
gs	68.85
gt	186.26
gu	48.70
gv	207.22
gw	53.06
gx	69.69
gy	57.38
gz	66.84
g;	41.98
g,	55.66
g.	49.14
g/	46.41
ha	56.59
hb	63.76
hc	71.28
hd	57.87
he	47.35
hf	62.53
hg	63.28
hh	138.14
hi	60.55
hj	158.15
hk	61.58
hl	56.78
hm	191.63
hn	185.27
ho	58.85
hp	56.92
hq	49.54
hr	62.43
hs	55.05
ht	74.04
hu	163.72
hv	58.13
hw	55.60
hx	57.76
hy	173.23
hz	60.87
h;	54.77
h,	84.22
h.	66.33
h/	61.03
ia	60.97
ib	67.64
ic	72.15
id	61.43
ie	55.87
if	61.59
ig	67.09
ih	66.17
ii	132.48
ij	70.12
ik	185.41
il	80.85
im	81.26
in	73.09
io	71.11
ip	62.68
iq	58.53
ir	64.06
is	58.07
it	70.69
iu	60.46
iv	62.41
iw	62.01
ix	70.48
iy	74.29
iz	69.96
i;	84.32
i,	220.36
i.	150.04
i/	102.29
ja	60.77
jb	62.31
jc	65.39
jd	62.89
je	52.96
jf	58.82
jg	68.56
jh	146.32
ji	55.89
jj	130.73
jk	55.79
jl	60.49
jm	192.37
jn	181.00
jo	63.48
jp	51.55
jq	55.11
jr	62.94
js	60.15
jt	73.23
ju	157.50
jv	61.90
jw	57.54
jx	63.13
jy	170.65
jz	70.84
j;	61.82
j,	88.60
j.	70.30
j/	72.02
ka	58.89
kb	61.98
kc	67.89
kd	60.21
ke	53.00
kf	59.41
kg	60.59
kh	66.10
ki	165.29
kj	60.14
kk	142.51
kl	67.25
km	67.26
kn	66.79
ko	61.32
kp	64.24
kq	50.42
kr	57.37
ks	55.56
kt	67.86
ku	60.76
kv	54.22
kw	55.00
kx	59.79
ky	72.42
kz	60.89
k;	64.38
k,	199.12
k.	93.67
k/	80.93
la	63.26
lb	65.51
lc	73.78
ld	63.01
le	56.43
lf	62.89
lg	67.98
lh	61.66
li	69.80
lj	62.56
lk	68.40
ll	141.61
