pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
aa	0.0005	0.0013	0.0044	0.0029
ab	0.0065	0.0153	0.0510	0.0338
ac	0.0065	0.0153	0.0510	0.0338
ad	0.0042	0.0099	0.0333	0.0219
ae	0.0029	0.0069	0.0234	0.0154
af	0.0042	0.0099	0.0333	0.0219
ag	0.0042	0.0099	0.0333	0.0219
ah	0.0025	0.0060	0.0203	0.0133
ai	0.0018	0.0041	0.0142	0.0093
aj	0.0025	0.0060	0.0203	0.0133
ak	0.0025	0.0060	0.0203	0.0133
al	0.0025	0.0060	0.0203	0.0133
am	0.0039	0.0093	0.0313	0.0206
an	0.0039	0.0093	0.0313	0.0206
ao	0.0018	0.0041	0.0142	0.0093
ap	0.0018	0.0041	0.0142	0.0093
aq	0.0051	0.0120	0.0402	0.0265
ar	0.0029	0.0069	0.0234	0.0154
as	0.0070	0.0165	0.0547	0.0363
at	0.0029	0.0069	0.0234	0.0154
au	0.0018	0.0041	0.0142	0.0093
av	0.0065	0.0153	0.0510	0.0338
aw	0.0049	0.0115	0.0387	0.0255
ax	0.0109	0.0255	0.0828	0.0555
ay	0.0018	0.0041	0.0142	0.0093
az	0.0113	0.0265	0.0858	0.0576
a;	0.0025	0.0060	0.0203	0.0133
a,	0.0039	0.0093	0.0313	0.0206
a.	0.0039	0.0093	0.0313	0.0206
a/	0.0039	0.0093	0.0313	0.0206
ba	0.0053	0.0125	0.0419	0.0277
bb	0.0007	0.0016	0.0054	0.0035
bc	0.0065	0.0153	0.0510	0.0338
bd	0.0042	0.0099	0.0333	0.0219
be	0.0029	0.0069	0.0234	0.0154
bf	0.0064	0.0150	0.0500	0.0331
bg	0.0057	0.0135	0.0452	0.0299
bh	0.0025	0.0060	0.0203	0.0133
bi	0.0018	0.0041	0.0142	0.0093
bj	0.0025	0.0060	0.0203	0.0133
bk	0.0025	0.0060	0.0203	0.0133
bl	0.0025	0.0060	0.0203	0.0133
bm	0.0039	0.0093	0.0313	0.0206
bn	0.0039	0.0093	0.0313	0.0206
bo	0.0018	0.0041	0.0142	0.0093
bp	0.0018	0.0041	0.0142	0.0093
bq	0.0037	0.0087	0.0295	0.0194
br	0.0045	0.0105	0.0353	0.0233
bs	0.0042	0.0099	0.0333	0.0219
bt	0.0040	0.0094	0.0319	0.0210
bu	0.0018	0.0041	0.0142	0.0093
bv	0.0099	0.0232	0.0759	0.0508
bw	0.0029	0.0069	0.0234	0.0154
bx	0.0065	0.0153	0.0510	0.0338
by	0.0018	0.0041	0.0142	0.0093
bz	0.0083	0.0194	0.0639	0.0426
b;	0.0025	0.0060	0.0203	0.0133
b,	0.0039	0.0093	0.0313	0.0206
b.	0.0039	0.0093	0.0313	0.0206
b/	0.0039	0.0093	0.0313	0.0206
ca	0.0053	0.0125	0.0419	0.0277
cb	0.0065	0.0153	0.0510	0.0338
cc	0.0007	0.0016	0.0054	0.0035
