session	stream	kind	pos	t_ms	dur_ms	got	want	prev	n_wrong	blind	n_bs	immediate
20260905-181849	1	ep	84	21976.5	1490.8	r	t	i	1	0	1	1
20260905-181849	1	ep	133	37988.0	960.6	p	/	p	1	0	1	1
20260905-181849	1	sum	142	40869.3	2	-	-	-	0	0	0	0
20260905-181849	2	ep	31	8151.8	974.1	i	j	g	1	0	1	1
20260905-181849	2	sum	150	42285.4	1	-	-	-	0	0	0	0
20260905-181849	3	ep	80	22596.5	835.9	v	w	o	1	0	1	1
20260905-181849	3	ep	114	32802.5	799.9	x	z	r	1	0	1	1
20260905-181849	3	ep	125	37287.3	746.5	e	c	w	1	0	1	1
20260905-181849	3	sum	198	61281.6	3	-	-	-	0	0	0	0
20260905-181849	4	ep	94	27845.1	796.0	h	b	p	1	0	1	1
20260905-181849	4	ep	132	39545.0	1320.1	q	a	b	3	2	3	0
20260905-181849	4	sum	194	56766.2	2	-	-	-	0	0	0	0
20260905-211648	1	ep	64	17951.0	1242.5	m	h	u	2	1	2	0
20260905-211648	1	sum	145	42342.1	1	-	-	-	0	0	0	0
20260905-211648	2	sum	149	42427.7	0	-	-	-	0	0	0	0
20260905-211648	3	ep	41	11574.7	778.3	q	a	v	1	0	1	1
20260905-211648	3	ep	108	47663.8	754.0	q	a	,	1	0	1	1
20260905-211648	3	sum	150	59996.3	2	-	-	-	0	0	0	0
20260905-211648	4	ep	85	21349.2	1163.0	i	j	,	1	1	2	0
20260905-211648	4	ep	114	30909.1	856.8	o	p	z	2	1	2	0
20260905-211648	4	sum	155	41409.9	2	-	-	-	0	0	0	0
20260905-211648	5	ep	4	1012.1	1221.8	q	z	x	1	0	1	1
20260905-211648	5	ep	52	15561.9	1468.1	l	k	.	2	1	2	0
20260905-211648	5	ep	89	26860.2	562.2	,	.	w	1	0	1	1
20260905-211648	5	ep	133	40839.4	694.7	a	z	i	1	0	1	1
20260905-211648	5	sum	194	59488.0	4	-	-	-	0	0	0	0
20260905-211648	6	ep	108	30075.3	967.0	k	h	k	2	1	2	0
20260905-211648	6	sum	130	36265.5	1	-	-	-	0	0	0	0
20260905-211648	7	ep	34	8546.4	762.2	,	.	c	1	0	1	1
20260905-211648	7	ep	91	25640.4	1156.5	m	q	u	2	1	2	0
20260905-211648	7	ep	139	40389.6	940.9	.	,	e	2	1	2	0
20260905-211648	7	ep	181	54484.7	958.7	x	v	f	1	0	1	1
20260905-211648	7	sum	205	60907.0	4	-	-	-	0	0	0	0
20260905-211648	8	ep	49	11871.7	817.1	e	t	k	1	0	1	1
20260905-211648	8	ep	69	17508.1	920.9	x	q	x	1	0	1	1
20260905-211648	8	ep	150	41961.9	1085.2	a	s	;	2	1	2	0
20260905-211648	8	sum	157	43359.3	3	-	-	-	0	0	0	0
20260905-211648	9	ep	103	29219.7	791.8	z	x	o	1	0	1	1
20260905-211648	9	sum	138	39943.9	1	-	-	-	0	0	0	0
20260905-214647	1	ep	18	4555.4	589.7	y	u	v	1	0	1	1
20260905-214647	1	ep	20	5862.2	630.1	.	,	y	1	0	1	1
